epoch,step,test_mae,test_mse,train_loss,val_loss,val_mae,val_mse
0,269,0.18103395402431488,0.07516908645629883,,0.4493493437767029,0.18268230557441711,0.07309825718402863
0,269,,,0.5246728658676147,,,
1,539,0.1685413271188736,0.06788549572229385,,0.4407578110694885,0.1715216338634491,0.0700816884636879
1,539,,,0.44537317752838135,,,
2,809,0.15542571246623993,0.05750671401619911,,0.39520594477653503,0.15694178640842438,0.05652066320180893
2,809,,,0.41668131947517395,,,
3,1079,0.15227757394313812,0.053259365260601044,,0.37960267066955566,0.1528446227312088,0.05214838683605194
3,1079,,,0.3959365785121918,,,
4,1349,0.1404159963130951,0.04739014431834221,,0.3626183867454529,0.1424286961555481,0.047607868909835815
4,1349,,,0.37358659505844116,,,
5,1619,0.13658370077610016,0.04655126854777336,,0.34721294045448303,0.13624048233032227,0.04420996084809303
5,1619,,,0.35509252548217773,,,
6,1889,0.1307050883769989,0.04047492891550064,,0.33493709564208984,0.13248641788959503,0.040546588599681854
6,1889,,,0.34088167548179626,,,
7,2159,0.1244572252035141,0.0372222363948822,,0.31245309114456177,0.1252996027469635,0.035381998866796494
7,2159,,,0.3272753655910492,,,
8,2429,0.1218741163611412,0.034105367958545685,,0.30031871795654297,0.12180782854557037,0.03261558338999748
8,2429,,,0.3124948740005493,,,
9,2699,0.11910362541675568,0.03523293882608414,,0.29741474986076355,0.11851776391267776,0.03210988640785217
9,2699,,,0.3036155700683594,,,
10,2969,0.11540038883686066,0.031862251460552216,,0.288596510887146,0.11478746682405472,0.030211256816983223
10,2969,,,0.29391151666641235,,,
11,3239,0.11724359542131424,0.03285299614071846,,0.2935674786567688,0.11669611185789108,0.031128309667110443
11,3239,,,0.28651049733161926,,,
12,3509,0.11342459917068481,0.03183417767286301,,0.2897373139858246,0.11336779594421387,0.03032057359814644
12,3509,,,0.280474990606308,,,
13,3779,0.11017566919326782,0.028150618076324463,,0.26937559247016907,0.109198197722435,0.02614915370941162
13,3779,,,0.2745184600353241,,,
14,4049,0.11155138164758682,0.029096661135554314,,0.2733463943004608,0.11169003695249557,0.026959238573908806
14,4049,,,0.26911619305610657,,,
15,4319,0.10848168283700943,0.02773885801434517,,0.2615032494068146,0.10633904486894608,0.02462933212518692
15,4319,,,0.26431331038475037,,,
16,4589,0.1081189289689064,0.025858549401164055,,0.2601592540740967,0.10856381058692932,0.024353396147489548
16,4589,,,0.263205885887146,,,
17,4859,0.12000124156475067,0.028684869408607483,,0.2719118893146515,0.11959567666053772,0.02657013200223446
17,4859,,,0.2594071328639984,,,
18,5129,0.11248521506786346,0.02717234008014202,,0.2646670937538147,0.11220163851976395,0.02516872249543667
18,5129,,,0.256841778755188,,,
